New log started
Initializing OpenCL environement...
1 - Motion: 1514 833
1 - Motion: 1512 831
1 - Motion: 1509 828
1 - Motion: 1506 825
1 - Motion: 1504 822
1 - Motion: 1501 819
1 - Motion: 1499 816
1 - Motion: 1496 813
1 - Motion: 1494 810
1 - Motion: 1491 807
1 - Motion: 1489 804
1 - Motion: 1487 801
1 - Motion: 1484 798
1 - Motion: 1482 795
1 - Motion: 1480 793
1 - Motion: 1478 790
1 - Motion: 1476 787
1 - Motion: 1476 785
1 - Motion: 1474 782
1 - Motion: 1472 780
1 - Motion: 1472 778
1 - Motion: 1470 775
1 - Motion: 1470 773
1 - Motion: 1468 771
1 - Motion: 1468 769
1 - Motion: 1468 767
1 - Motion: 1468 765
1 - Motion: 1468 763
1 - Motion: 1466 761
1 - Motion: 1466 760
1 - Motion: 1466 758
1 - Motion: 1466 756
1 - Motion: 1468 756
1 - Motion: 1468 754
1 - Motion: 1468 753
1 - Motion: 1468 752
1 - Motion: 1468 751
1 - Motion: 1469 750
1 - Keypress: 65363
1 - Keyrelease: 65363
1 - Keypress: 65364
1 - Keyrelease: 65364
1 - Keypress: 65364
1 - Keypress: 65363
1 - Keyrelease: 65363
1 - Keyrelease: 65364
1 - Motion: 1469 751
1 - Keypress: 65364
1 - Keypress: 65363
1 - Keyrelease: 65363
1 - Keyrelease: 65364
1 - Motion: 1470 751
1 - Motion: 1470 750
1 - Motion: 1471 750
1 - Keypress: 65363
1 - Keypress: 65362
1 - Keyrelease: 65363
1 - Keyrelease: 65362
1 - Keypress: 65363
1 - Motion: 1471 751
1 - Keyrelease: 65363
1 - Motion: 1471 750
1 - Keypress: 65364
1 - Motion: 1471 749
1 - Keypress: 65361
1 - Keypress: 65363
1 - Keyrelease: 65364
1 - Keyrelease: 65363
1 - Keyrelease: 65361
1 - Keypress: 65361
1 - Keyrelease: 65361
1 - Keypress: 65362
1 - Keyrelease: 65362
1 - Keypress: 65307
Log ended
New log started
Initializing OpenCL environement...
1 - Keypress: 65363
1 - Keyrelease: 65363
1 - Keypress: 65361
1 - Keypress: 65363
1 - Keyrelease: 65361
1 - Keyrelease: 65363
1 - Keypress: 65363
1 - Keyrelease: 65363
1 - Keypress: 65361
1 - Keyrelease: 65361
1 - Keypress: 65363
1 - Keyrelease: 65363
1 - Keypress: 65361
1 - Keypress: 65363
1 - Keyrelease: 65361
1 - Keyrelease: 65363
1 - Keypress: 65363
1 - Keypress: 65361
1 - Keyrelease: 65363
1 - Keyrelease: 65361
1 - Keypress: 65363
1 - Keyrelease: 65363
1 - Keypress: 65361
1 - Keyrelease: 65361
1 - Keypress: 65363
1 - Keyrelease: 65363
1 - Keypress: 65361
1 - Keypress: 65363
1 - Keyrelease: 65361
1 - Keyrelease: 65363
1 - Keypress: 65361
1 - Keyrelease: 65361
1 - Keypress: 65361
1 - Keypress: 65363
1 - Keyrelease: 65363
1 - Keyrelease: 65361
1 - Keypress: 65361
1 - Keyrelease: 65361
1 - Keypress: 65363
1 - Keyrelease: 65363
1 - Keypress: 65364
1 - Keyrelease: 65364
1 - Keypress: 65363
1 - Keyrelease: 65363
1 - Keypress: 65361
1 - Keyrelease: 65361
1 - Keypress: 65361
1 - Keyrelease: 65361
1 - Keypress: 65361
1 - Keyrelease: 65361
1 - Keypress: 65361
1 - Keyrelease: 65361
1 - Keypress: 65361
1 - Keyrelease: 65361
1 - Keypress: 65363
1 - Keyrelease: 65363
1 - Keypress: 65361
1 - Keyrelease: 65361
1 - Keypress: 65363
1 - Keyrelease: 65363
1 - Keypress: 65362
1 - Keyrelease: 65362
1 - Keypress: 65364
1 - Keypress: 65361
1 - Keyrelease: 65364
1 - Keyrelease: 65361
1 - Keypress: 65362
1 - Keyrelease: 65362
1 - Keypress: 65363
1 - Keypress: 65362
1 - Keyrelease: 65362
1 - Keyrelease: 65363
1 - Keypress: 65362
1 - Keyrelease: 65362
1 - Keypress: 65362
1 - Keyrelease: 65362
1 - Keypress: 65361
1 - Keyrelease: 65361
1 - Keypress: 65364
1 - Keyrelease: 65364
1 - Keypress: 65361
1 - Keyrelease: 65361
1 - Keypress: 65362
1 - Keyrelease: 65362
1 - Keypress: 65363
1 - Keyrelease: 65363
1 - Keypress: 65362
1 - Keyrelease: 65362
1 - Keypress: 65307
Log ended
New log started
Initializing OpenCL environement...
1 - Buttonpress: 1
1 - Motion: 979 449
1 - Motion: 978 449
1 - Motion: 978 450
1 - Buttonrelease: 1
1 - Motion: 978 450
1 - Motion: 979 450
1 - Motion: 979 451
1 - Motion: 980 452
1 - Motion: 981 453
1 - Motion: 982 453
1 - Motion: 983 454
1 - Motion: 983 456
1 - Motion: 984 456
1 - Motion: 985 457
1 - Motion: 987 458
1 - Motion: 988 460
1 - Motion: 990 460
1 - Motion: 991 461
1 - Motion: 992 463
1 - Motion: 994 464
1 - Motion: 996 466
1 - Motion: 997 466
1 - Motion: 999 468
1 - Motion: 1001 469
1 - Motion: 1004 471
1 - Motion: 1005 473
1 - Motion: 1007 475
1 - Motion: 1009 477
1 - Motion: 1012 479
1 - Motion: 1014 481
1 - Motion: 1017 484
1 - Motion: 1019 486
1 - Motion: 1022 488
1 - Motion: 1025 491
1 - Motion: 1028 493
1 - Motion: 1031 496
1 - Motion: 1034 499
1 - Motion: 1037 501
1 - Motion: 1040 504
1 - Motion: 1043 507
1 - Motion: 1046 510
1 - Motion: 1049 513
1 - Motion: 1054 516
1 - Motion: 1059 519
1 - Motion: 1064 522
1 - Motion: 1069 527
1 - Motion: 1074 532
1 - Motion: 1079 537
1 - Motion: 1084 542
1 - Motion: 1089 547
1 - Motion: 1094 552
1 - Motion: 1099 557
1 - Motion: 1104 562
1 - Motion: 1109 567
1 - Motion: 1114 572
1 - Motion: 1119 577
1 - Motion: 1124 582
1 - Motion: 1129 587
1 - Motion: 1134 592
1 - Motion: 1139 597
1 - Motion: 1144 602
1 - Motion: 1149 607
1 - Motion: 1154 612
1 - Motion: 1159 617
1 - Motion: 1164 622
1 - Motion: 1169 627
1 - Motion: 1174 632
1 - Motion: 1179 637
1 - Motion: 1184 642
1 - Motion: 1189 647
1 - Motion: 1194 652
1 - Motion: 1199 657
1 - Motion: 1204 662
1 - Motion: 1209 667
1 - Motion: 1214 672
1 - Motion: 1219 677
1 - Motion: 1224 682
1 - Motion: 1229 687
1 - Motion: 1234 689
1 - Motion: 1236 692
1 - Motion: 1239 695
1 - Motion: 1241 697
1 - Motion: 1243 699
1 - Motion: 1245 701
1 - Motion: 1247 703
1 - Motion: 1249 705
1 - Motion: 1249 707
1 - Motion: 1251 709
1 - Motion: 1253 709
1 - Motion: 1253 710
1 - Motion: 1255 712
1 - Motion: 1256 714
1 - Motion: 1256 716
1 - Motion: 1258 716
1 - Motion: 1258 717
1 - Motion: 1259 718
1 - Motion: 1260 718
1 - Motion: 1261 718
1 - Motion: 1262 719
1 - Motion: 1264 721
1 - Motion: 1265 721
1 - Motion: 1266 721
1 - Motion: 1267 722
1 - Motion: 1268 722
1 - Motion: 1269 722
1 - Motion: 1270 723
1 - Motion: 1271 723
1 - Motion: 1273 725
1 - Motion: 1275 725
1 - Motion: 1277 726
1 - Motion: 1279 726
1 - Motion: 1281 728
1 - Motion: 1283 730
1 - Motion: 1286 730
1 - Motion: 1288 732
1 - Motion: 1291 733
1 - Motion: 1293 733
1 - Motion: 1295 735
1 - Motion: 1298 737
1 - Motion: 1301 737
1 - Motion: 1303 739
1 - Motion: 1306 741
1 - Motion: 1309 741
1 - Motion: 1312 743
1 - Motion: 1315 743
1 - Motion: 1318 745
1 - Motion: 1321 747
1 - Motion: 1324 749
